lng,lat
137.198465,39.505538
137.178838,39.491836
137.205590,39.514910
137.208327,39.514952
137.206022,39.496572
137.193610,39.500788
137.173519,39.495171
137.163542,39.492497
137.211980,39.513659
137.199786,39.515900
137.216407,39.518402
137.184495,39.501726
137.172522,39.491289
137.195797,39.492818
137.166886,39.488143
137.166882,39.488233
137.214099,39.514770
137.183889,39.484361
137.207725,39.519259
137.172964,39.491026
137.163102,39.499864
137.192941,39.488548
137.193675,39.488199
137.215564,39.517850
137.185515,39.483307
137.163793,39.496997
137.158276,39.494483
137.194671,39.506739
137.167365,39.483385
137.167321,39.488060
137.172881,39.482302
137.197319,39.509028
137.160434,39.501711
